head_neck_x,head_neck_y
1184.5291748046875,1187.0943969726563
1184.5502685546876,1187.0761108398438
1184.5809448242187,1187.0931884765625
1184.5626708984375,1187.0398681640625
1184.581787109375,1186.9322631835937
1184.5025268554687,1186.8264770507812
1184.5050659179688,1186.814111328125
1184.528173828125,1186.7909790039062
1184.6122314453125,1186.7953735351562
1184.7316772460938,1186.7865966796876
1184.8153442382813,1186.8202392578125
1184.9134887695313,1186.844775390625
1184.9202026367188,1186.7464111328125
1184.9416870117188,1186.7477294921875
1184.9796997070312,1186.843505859375
1185.0399047851563,1186.9127075195313
1185.1075561523437,1186.9107666015625
1185.1598388671875,1186.9297119140624
1185.1739013671875,1186.9149658203125
1185.2212280273438,1186.8628295898438
1185.2785766601562,1186.8187744140625
1185.2435791015625,1186.7885375976562
1185.2596557617187,1186.8164428710938
1185.2623413085937,1186.7851806640624
1185.1837646484375,1186.6334228515625
1185.024658203125,1186.5177368164063
1184.9596923828126,1186.4513305664063
1185.0223510742187,1186.3857299804688
1185.0895629882812,1186.3503173828126
1185.154150390625,1186.3156982421874
1185.1596557617188,1186.2701293945313
1185.1485595703125,1186.2396362304687
1185.106005859375,1186.2161499023437
1185.0939819335938,1186.2568725585938
1185.185009765625,1186.3285766601562
1185.2263916015625,1186.3626586914063
1185.2178344726562,1186.3964965820312
1185.1999755859374,1186.4366455078125
1185.1809448242188,1186.420263671875
1185.0652709960937,1186.4929077148438
1185.0425659179687,1186.5870483398437
1185.0010131835938,1186.6905517578125
1184.9628784179688,1186.7808349609375
1184.623193359375,1186.8355102539062
1183.8416259765625,1187.2994384765625
1183.5787841796875,1187.4666625976563
1182.99169921875,1187.857958984375
1182.0647338867188,1188.3930053710938
1181.2094848632812,1189.1667236328126
1180.2250244140625,1190.1354370117188
1178.925,1191.11171875
1177.7895751953124,1191.972509765625
1176.5941040039063,1192.886767578125
1174.5857788085937,1193.8820434570312
1171.2155151367188,1194.4638305664062
1165.98671875,1195.4127685546875
1159.7281372070313,1196.161865234375
1152.816015625,1196.7671020507812
1145.3963623046875,1197.4955322265625
1138.1714477539062,1197.7208618164063
1131.4457885742188,1197.4703857421875
1124.8014404296875,1197.1235961914062
1117.2651733398438,1196.4790283203124
1109.5396118164062,1195.6283569335938
1101.8246459960938,1194.4006469726562
1093.7744384765624,1192.8162963867187
1084.1502563476563,1190.914794921875
1073.1697631835937,1188.3396484375
1060.92744140625,1185.1242919921874
1046.8776000976563,1181.45927734375
1031.5731201171875,1177.1337646484376
1015.5515502929687,1171.4442260742187
999.5837890625,1164.3310668945312
983.7005615234375,1155.8450439453125
967.8214111328125,1145.2550903320312
952.2590087890625,1133.1543334960938
938.2660888671875,1119.037841796875
926.1088500976563,1103.6864379882813
914.6539916992188,1086.65009765625
903.5873413085938,1068.687060546875
892.4128295898438,1050.1959716796875
880.5975952148438,1032.0561401367188
868.2053955078125,1013.814501953125
855.5935913085938,995.8338012695312
842.7168334960937,979.1128540039062
829.4808227539063,964.083154296875
815.2828857421875,950.3408447265625
800.062744140625,937.7046752929688
784.54501953125,926.3387817382812
769.4494262695313,916.2946044921875
753.7968872070312,907.5178588867187
737.8324035644531,899.4343872070312
722.7041748046875,892.9240478515625
708.9076904296875,887.7928344726563
696.9948486328125,884.110693359375
686.8918212890625,880.3730346679688
679.1385131835938,877.6367309570312
672.9516296386719,875.6927612304687
668.9334838867187,874.7511108398437
666.9517517089844,874.4843872070312
666.9285949707031,874.5271484375
668.7246704101562,875.133251953125
671.2542053222656,876.10400390625
673.880908203125,877.0568237304688
676.6976928710938,877.8620727539062
679.4473083496093,878.8780029296875
681.9075866699219,879.9177368164062
684.1924194335937,880.9268920898437
685.4800354003906,881.689599609375
685.6669006347656,882.104150390625
685.5254516601562,882.6121215820312
684.94697265625,882.98994140625
684.306103515625,883.209716796875
683.6569396972657,883.3489013671875
683.0511108398438,883.551513671875
682.5741882324219,883.6879760742188
682.3587524414063,883.8470336914063
682.2356079101562,884.0174560546875
682.1432739257813,884.1699462890625
682.1418762207031,884.3169677734375
682.2091125488281,884.4326171875
682.3293884277343,884.5785278320312
682.4626953125,884.7584228515625
682.5178588867187,884.9071166992187
682.4974731445312,885.000927734375
682.4754821777344,885.1086303710938
682.3736206054688,885.1209838867187
682.3626220703125,885.066943359375
682.1752197265625,884.185498046875
681.8864013671875,882.913427734375
680.5522277832031,880.9351440429688
677.6157287597656,878.1512756347656
673.4245056152344,874.2180480957031
668.5361633300781,869.1715393066406
663.5107788085937,863.1168640136718
658.5874145507812,855.4106140136719
653.8382934570312,846.3966491699218
648.807470703125,835.8132690429687
644.0144226074219,824.6269348144531
639.4000366210937,812.9272644042969
635.8789733886719,801.4333801269531
634.2062133789062,790.3930297851563
633.7800415039062,780.3556213378906
634.0155212402344,771.2672424316406
634.1411254882812,762.8517639160157
634.2784057617188,756.1975891113282
634.1635620117188,750.6627380371094
634.1273193359375,746.6313598632812
634.1167907714844,743.9615966796875
634.2846557617188,742.5817321777344
635.1364013671875,742.779736328125
636.2282958984375,744.73857421875
637.49248046875,747.3887756347656
638.8911071777344,750.5455261230469
640.5786193847656,754.0973510742188
642.1459777832031,757.6519287109375
643.8310546875,761.4899047851562
645.5758239746094,765.5657958984375
647.2646606445312,769.8357543945312
648.595849609375,773.8253967285157
649.1205078125,776.7759521484375
649.0906860351563,778.2796020507812
648.8004638671875,779.2162780761719
648.4426940917969,779.8574768066406
648.0560241699219,780.4544677734375
647.7066101074219,780.9904541015625
647.4137451171875,781.515966796875
647.2959289550781,781.9504516601562
647.3127807617187,782.262158203125
647.4459289550781,782.4616027832031
647.6952209472656,782.60185546875
648.1149353027344,782.8168273925781
648.6051513671875,782.9719055175781
649.1355590820312,783.0651489257813
649.5993347167969,783.0632141113281
649.9548767089843,783.0387084960937
650.1431945800781,782.940087890625
650.214697265625,782.8681701660156
650.1545837402343,782.7969116210937
650.0581665039062,782.7685485839844
649.9524597167969,782.7301696777344
649.8151611328125,782.6594299316406
649.7200256347656,782.5329528808594
649.6055419921875,782.4021789550782
649.6204284667969,782.3075256347656
649.6794982910156,782.1806945800781
649.8343566894531,782.1076538085938
649.9742309570313,782.0338256835937
650.1262573242187,781.9442321777344
650.2901733398437,781.8682556152344
650.3892211914062,781.8092407226562
650.4127075195313,781.8442443847656
650.3569152832031,781.9881591796875
650.3138366699219,782.1364074707031
650.2003967285157,782.3192749023438
650.0523010253906,782.5211669921875
649.8856079101563,782.6782470703125
649.7263977050782,782.8735778808593
649.5699096679688,783.0750732421875
649.4062561035156,783.2455383300781
649.2857666015625,783.4164001464844
649.2161987304687,783.5059387207032
649.1790161132812,783.6186462402344
649.1498718261719,783.7347229003906
649.1236145019532,783.8061828613281
649.1113891601562,783.8333740234375
649.0890625,783.8725952148437
649.0516662597656,783.8279724121094
649.0066528320312,783.7682006835937
648.9564453125,783.7056274414062
648.9289489746094,783.5903930664062
648.9397766113282,783.4762145996094
649.0207885742187,783.3669738769531
649.1074584960937,783.222412109375
649.2283752441406,783.0445068359375
649.3947998046875,782.9196533203125
649.5625732421875,782.7584106445313
649.7229431152343,782.5914428710937
649.8948974609375,782.4682983398437
650.0886169433594,782.3363403320312
650.2666931152344,782.2797668457031
650.4195922851562,782.2356628417969
650.4693298339844,782.1914733886719
650.53271484375,782.1745483398438
650.5469665527344,782.2079833984375
650.5466796875,782.24072265625
650.5166931152344,782.2953674316407
650.4663330078125,782.3092956542969
650.4339965820312,782.3214111328125
650.404052734375,782.3478820800781
650.374755859375,782.3587951660156
650.3155883789062,782.3693664550781
